color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#ff00ff,91.322882,489.418845,5.359214
#00ffff,32.311052,207.762437,6.430073
#800000,29.935814,164.582394,5.497843
#5ac1d9,22.335515,106.898859,4.786049
#32cd32,20.886180,80.969095,3.876683
#00ff80,17.146578,105.902461,6.176303
#ffff00,16.346472,88.044704,5.386159
#000080,12.786640,74.408341,5.819225
#822072,11.130646,82.085322,7.374713
#8a2be2,10.656256,86.193742,8.088558
#ff8000,10.619901,68.398249,6.440573
#008000,9.742582,71.414990,7.330191
#20b2aa,7.389401,57.975588,7.845776
#4363d8,6.961457,46.185771,6.634498
#8080ff,5.481191,39.238804,7.158810
#8b99c5,5.360555,32.370021,6.038558
#ff4500,5.119021,44.388658,8.671318
#ff1493,4.454803,29.055204,6.522220
#808000,3.931435,22.941252,5.835338
#f58231,3.462469,33.173001,9.580736
