color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#000080,284.147553,0.045000,12.786640
#008000,216.501826,0.045000,9.742582
#00ff80,381.035062,0.045000,17.146578
#00ffff,718.023375,0.045000,32.311052
#20b2aa,164.208912,0.045000,7.389401
#32cd32,464.137327,0.045000,20.886180
#4363d8,154.699050,0.045000,6.961457
#5ac1d9,496.344777,0.045000,22.335515
#800000,665.240321,0.045000,29.935814
#808000,87.365230,0.045000,3.931435
#8080ff,121.804237,0.045000,5.481191
#822072,247.347699,0.045000,11.130646
#8a2be2,236.805698,0.045000,10.656256
#8b99c5,119.123448,0.045000,5.360555
#f58231,76.943755,0.045000,3.462469
#ff00ff,2029.397370,0.045000,91.322882
#ff1493,98.995617,0.045000,4.454803
#ff4500,113.756026,0.045000,5.119021
#ff8000,235.997809,0.045000,10.619901
#ffff00,363.254931,0.045000,16.346472
